Test,Objective,R,R_max,CO,CO_max,Status,GP
nsf_centers_easy_s1,0.464807007,250,507,6635.794862,15698.19526,TLE,0.500046384
nsf_centers_easy_s2,0.446881348,156,493,3009.375659,14317.22026,MLE,0.495816573
nsf_centers_easy_s3,0.443343731,142,513,3013.691107,18433.39417,MLE,0.502688631
nsf_centers_hard_s1,0.485024323,137,461,17962.05755,67216.04182,MLE,0.495032346
nsf_centers_hard_s2,0.430198862,207,481,19558.27732,67268.05379,TLE,0.466380042
nsf_centers_hard_s3,0.476382779,49,467,2808.982515,48690.15266,TLE,0.471296251
nsf_centers_normal_s1,0.450588224,226,427,13230.22237,30735.76132,TLE,0.489076464
nsf_centers_normal_s2,0.458513932,120,481,4803.483045,28848.3401,MLE,0.471478939
nsf_centers_normal_s3,0.415803036,200,548,6270.872374,31901.50307,MLE,0.487188065
nsf_rural_easy_s1,0.453699921,172,487,17277.90841,66304.92115,TLE,0.403168578
nsf_rural_easy_s2,0.437732561,153,489,15042.25433,79863.92032,MLE,0.424114609
nsf_rural_easy_s3,0.393417833,233,508,24122.24996,98258.80468,MLE,0.426515552
nsf_rural_hard_s1,0.498491134,7,530,4928.979805,483715.7228,TLE,0.479911472
nsf_rural_hard_s2,0.492607021,17,495,8437.516729,431421.4923,TLE,0.449112561
nsf_rural_hard_s3,0.490303144,15,478,4737.894113,395251.2623,TLE,0.432326524
nsf_rural_normal_s1,0.468028664,109,501,27259.38013,177444.2778,TLE,0.40906763
nsf_rural_normal_s2,0.495605763,9,513,1756.238182,200589.4724,TLE,0.407623755
nsf_rural_normal_s3,0.392768882,232,502,46391.0867,187295.5861,TLE,0.429887143
nsf_uniform_easy_s1,0.454658374,161,486,15121.0365,62849.1519,Optimal,0.415117586
nsf_uniform_easy_s2,0.384918226,263,507,19072.20977,66091.1983,TLE,0.345205659
nsf_uniform_easy_s3,0.412019327,226,540,17267.83082,71190.76534,TLE,0.445940184
nsf_uniform_hard_s1,0.498505061,8,511,4675.851827,369173.462,TLE,0.47098715
nsf_uniform_hard_s2,0.497387541,5,481,1673.723879,323724.3867,TLE,0.44301915
nsf_uniform_hard_s3,0.486785538,22,522,5720.53288,363978.7096,TLE,0.427521471
nsf_uniform_normal_s1,0.47684822,119,519,24502.3439,133904.6107,MLE,0.463574738
nsf_uniform_normal_s2,0.461699866,93,504,12328.85389,114236.9278,MLE,0.428482116
nsf_uniform_normal_s3,0.431122851,140,482,18100.23384,118532.9449,TLE,0.404941637
nsf_urban_easy_s1,0.46856057,100,501,9875.57186,72231.05132,MLE,0.399871494
nsf_urban_easy_s2,0.483326767,53,514,4280.199031,61350.39665,MLE,0.461092755
nsf_urban_easy_s3,0.486646095,24,494,1473.88718,67377.12429,MLE,0.398014051
nsf_urban_hard_s1,0.499383535,8,515,4829.688274,337715.2442,TLE,0.486487938
nsf_urban_hard_s2,0.497137385,7,508,2967.089126,368385.792,TLE,0.424447927
nsf_urban_hard_s3,0.494847602,9,512,2601.582312,357685.8096,TLE,0.439996191
nsf_urban_normal_s1,0.445969679,184,487,32623.57515,120934.3131,MLE,0.457637032
nsf_urban_normal_s2,0.482499862,46,484,8230.283448,137077.6164,MLE,0.442215903
nsf_urban_normal_s3,0.482268444,34,490,3924.529138,115683.7299,MLE,0.478651092
