DataSet,Convergence,Proposed,Heuristic 1,Heuristic 2,,,Sum = 18,,
nsf_centers_easy,10,0.495521174,0.495521174,0.5,,,More,Equal,Less
,,0.494558755,,,,,13,2,3
nsf_centers_hard,10,0.508618172,0.508618172,0.501453942,,,,,
,,0.49978339,,,,,,,
nsf_centers_normal,11,0.498157127,0.498157127,0.499016138,,,,,
,,0.494692779,,,,,,,
nsf_rural_easy,11,0.360100986,0.490277577,0.408103811,,,,,
,,0.362316542,,,,,,,
nsf_rural_hard,24,0.403873208,0.487279557,0.443270683,,,,,
,,0.407517166,,,,,,,
nsf_rural_normal,11,0.357331175,0.49743474,0.354862775,,,,,
,,0.356210321,,,,,,,
nsf_uniform_easy,10,0.426347107,0.495830367,0.435267497,,,,,
,,0.422976367,,,,,,,
nsf_uniform_hard,10,0.432621999,0.498992045,0.49549087,,,,,
,,0.427774551,,,,,,,
nsf_uniform_normal,23,0.336454455,0.491712838,0.379126769,,,,,
,,0.330837866,,,,,,,
nsf_urban_easy,20,0.358060365,0.494242721,0.371559252,,,,,
,,0.359284723,,,,,,,
nsf_urban_hard,11,0.419876328,0.497741361,0.466850972,,,,,
,,0.427071923,,,,,,,
nsf_urban_normal,10,0.41818915,0.495373627,0.427913166,,,,,
,,0.411754981,,,,,,,
,,,,,,,,,
conus_centers_easy,11,0.317702294,0.488185396,0.365152061,,,,,
,,0.330161155,,,,,,,
conus_centers_hard,11,0.350443499,0.495292806,0.442939408,,,,,
,,0.35382286,,,,,,,
conus_centers_normal,11,0.366092556,0.500438268,0.386167835,,,,,
,,0.368698117,,,,,,,
conus_rural_easy,14,0.300999637,0.498009737,0.371565146,,,,,
,,0.299607895,,,,,,,
conus_rural_hard,11,0.321963953,0.471316645,0.412520767,,,,,
,,0.319892326,,,,,,,
conus_rural_normal,17,0.372833668,0.499489688,0.37019956,,,,,
,,0.37768882,,,,,,,
conus_uniform_easy,,,,,,,,,
