dataset,max_cost,request
cogent_centers_easy_s1,729928.4495219599,1991
cogent_centers_easy_s2,611910.6460831698,2025
cogent_centers_easy_s3,748664.3228850175,2035
cogent_centers_hard_s1,3337957.700371548,1929
cogent_centers_hard_s2,3280599.113369946,1987
cogent_centers_hard_s3,3841666.9699927494,2022
cogent_centers_normal_s1,1407224.3387231305,2027
cogent_centers_normal_s2,1621891.7636283988,1947
cogent_centers_normal_s3,1429141.2840706022,1986
cogent_rural_easy_s1,2600497.056810092,2005
cogent_rural_easy_s2,2257618.952640845,2036
cogent_rural_easy_s3,2235021.6073057004,2013
cogent_rural_hard_s1,12289491.950308679,2024
cogent_rural_hard_s2,12304397.553851983,2008
cogent_rural_hard_s3,12121814.40774685,1917
cogent_rural_normal_s1,3586522.4255706533,2043
cogent_rural_normal_s2,4228934.821349139,2083
cogent_rural_normal_s3,4830494.842205914,2032
cogent_uniform_easy_s1,2410361.3352869134,1996
cogent_uniform_easy_s2,2314707.3345216415,1997
cogent_uniform_easy_s3,2616812.245316046,2008
cogent_uniform_hard_s1,11340292.764604878,2120
cogent_uniform_hard_s2,12856442.224995282,2055
cogent_uniform_hard_s3,11175244.79489634,2049
cogent_uniform_normal_s1,3499874.7488624076,2023
cogent_uniform_normal_s2,4604568.066165815,2006
cogent_uniform_normal_s3,4313454.487896031,2082
cogent_urban_easy_s1,2225677.43625842,2024
cogent_urban_easy_s2,2332610.965942224,2127
cogent_urban_easy_s3,2352436.3896303605,1962
cogent_urban_hard_s1,11280602.630266694,1987
cogent_urban_hard_s2,10482673.783127714,2003
cogent_urban_hard_s3,11110297.863243308,1963
cogent_urban_normal_s1,3625814.7076008585,2004
cogent_urban_normal_s2,4325199.568093745,2035
cogent_urban_normal_s3,4396264.407222856,1985
conus_centers_easy_s1,414935.7609227415,2007
conus_centers_easy_s2,467704.6900103633,1965
conus_centers_easy_s3,464832.7660465397,1981
conus_centers_hard_s1,2611250.7811232503,1990
conus_centers_hard_s2,1994851.4840360095,2049
conus_centers_hard_s3,2589546.141845763,2060
conus_centers_normal_s1,921928.5041295125,1993
conus_centers_normal_s2,964874.3364713059,2009
conus_centers_normal_s3,998898.1621130526,2003
conus_rural_easy_s1,1609354.667408035,2024
conus_rural_easy_s2,1994591.2680584025,2042
conus_rural_easy_s3,1723384.5011240984,2031
conus_rural_hard_s1,7976719.198311478,1956
conus_rural_hard_s2,9090688.95774022,2074
conus_rural_hard_s3,8448529.574841263,1979
conus_rural_normal_s1,3141730.28455897,1989
conus_rural_normal_s2,3463992.6000681026,1959
conus_rural_normal_s3,3494062.322583168,1992
conus_uniform_easy_s1,1456463.813902183,2102
conus_uniform_easy_s2,1655441.4470175623,2005
conus_uniform_easy_s3,1745770.072439965,1995
conus_uniform_hard_s1,8089101.043158527,1971
conus_uniform_hard_s2,8257226.740177756,1997
conus_uniform_hard_s3,7769626.672493355,1972
conus_uniform_normal_s1,3009977.0641509267,1979
conus_uniform_normal_s2,3503452.010791901,2074
conus_uniform_normal_s3,3182658.125502152,1983
conus_urban_easy_s1,1418826.9304474462,1930
conus_urban_easy_s2,1586583.4346500982,1994
conus_urban_easy_s3,1579477.6054926056,2048
conus_urban_hard_s1,8001759.866309073,2010
conus_urban_hard_s2,7820072.347518991,2046
conus_urban_hard_s3,8131830.011681342,1926
conus_urban_normal_s1,3387897.481854214,2043
conus_urban_normal_s2,2568740.159199754,1980
conus_urban_normal_s3,3689176.1480224496,1999
nsf_centers_easy_s1,59976.78418295485,1926
nsf_centers_easy_s2,59019.966752873355,2033
nsf_centers_easy_s3,69647.80124840305,1988
nsf_centers_hard_s1,290628.39794976247,1982
nsf_centers_hard_s2,286109.39229263994,2010
nsf_centers_hard_s3,205179.35745437103,1976
nsf_centers_normal_s1,143610.62095492985,1981
nsf_centers_normal_s2,123621.99081282277,1996
nsf_centers_normal_s3,118262.80837162939,2028
nsf_rural_easy_s1,263118.49388331163,1899
nsf_rural_easy_s2,308851.1043299899,1932
nsf_rural_easy_s3,377093.9381873796,2017
nsf_rural_hard_s1,1795234.08017532,1957
nsf_rural_hard_s2-Copy1,1720578.2633081488,2011
nsf_rural_hard_s2,1720578.2633081488,2011
nsf_rural_hard_s3,1625580.6595904387,1980
nsf_rural_normal_s1,713263.9526178949,1992
nsf_rural_normal_s2,795696.8582697073,2021
nsf_rural_normal_s3,744448.7874081467,1991
nsf_uniform_easy_s1,258632.8989383846,2008
nsf_uniform_easy_s2,249199.42260876132,1962
nsf_uniform_easy_s3,275537.709789585,2026
nsf_uniform_hard_s1,1448230.3286648535,1994
nsf_uniform_hard_s2,1327057.861871289,1970
nsf_uniform_hard_s3,1408207.0355879248,2000
nsf_uniform_normal_s1,510566.7394007946,1973
nsf_uniform_normal_s2,459775.340112128,2001
nsf_uniform_normal_s3,475368.49495587737,1953
nsf_urban_easy_s1,294058.4409844073,2018
nsf_urban_easy_s2,252102.34976322477,2062
nsf_urban_easy_s3,271951.7938268375,2009
nsf_urban_hard_s1,1282143.845376559,1952
nsf_urban_hard_s2,1467291.2630075272,1989
nsf_urban_hard_s3,1498035.6942670075,2128
nsf_urban_normal_s1,500603.0708639967,2010
nsf_urban_normal_s2,588403.980472756,2069
nsf_urban_normal_s3,453527.1389778922,1940
